,Longtitude,Latitude,Groundwater
0,74.42388889043828,23.959999999573537,10.91
1,77.7833333300618,16.249999999696147,9.13
2,82.2583333297181,26.002777779544495,5.76
3,70.59166667032844,21.75138888995032,29.66
4,82.38305556003726,21.21583332982635,9.2
5,79.56916666996914,15.12666666954787,8.8
6,75.15416667040984,32.50416667003971,7.27
7,83.89999999979275,18.75000000004933,10.82
8,86.875000000473,25.929166670081614,3.86
9,81.83194443956154,19.330555559576684,5.42
10,76.95333333005733,28.524722219878853,11.1
11,77.67777777986646,11.391666670210183,7.7
12,82.8655555598914,22.27083333031488,7.35
13,80.25833332998678,13.02499999959106,2.4
14,70.69166667021103,20.800000000101623,17.55
15,92.74749999954979,11.658888889628239,2.66
16,74.46666667014203,25.75833332994278,16.68
17,80.09972222032548,17.13999999959792,9.95
18,77.8294444404323,18.236944440121977,11.1
19,78.07444444016365,16.65861110987001,21.34
20,79.43333333014822,13.100000000002234,5.22
21,78.2133333295576,27.45333332963568,11.1
22,73.5027777800803,22.2833333300263,3.4
23,83.33999999995964,23.049166669743112,6.7
24,77.18944444011039,28.408888889825473,52
25,79.33333333000516,19.666666669864984,6.3
26,77.6847222199475,8.2666666666192,4.95
27,79.66638888981123,22.81805556029169,7.13
28,75.92222222030762,32.20833332993827,4.4
29,75.92388888983466,14.389722219968736,1.6
30,83.19583333008735,23.76666666990455,12
31,75.74444443949179,24.508888890227556,7.54
32,86.78749999975253,26.15694443989173,4.7
33,81.86083333028728,19.138055560124037,4.62
34,83.28055555962996,23.813888889881156,8.4
35,79.51111111011019,14.345833329862195,7.16
36,73.60888888970518,19.401944440269364,3.8
37,78.40277777999981,20.232222219588902,11.5
38,82.41388889018802,27.413888890419944,4.59
39,80.95555556041252,26.83333333011276,37.18
40,70.84166667026851,26.90000000006376,71.88
41,74.28333333028715,16.733333330377047,9.6
42,75.26111110967317,25.11388889030198,21.68
43,81.92083333015704,16.546666669586834,4.96
44,77.59722221988596,15.712222220328504,3.5
45,81.03999999974371,23.366666670427552,29.25
46,72.79166666978227,19.379166670033218,4.5
47,76.73333332995233,13.016666669971885,10.17
48,79.41194443993842,26.71166667002079,5.5
49,74.22027777975308,22.666666669667308,4.3
50,76.3252777798722,21.609166670272646,9.07
51,80.15166667007851,16.085277779547468,2.77
52,83.61666666952146,23.590277779696603,16.1
53,77.3888888895597,12.387777779838967,8.19
54,78.15111110988805,24.885833329915606,10
55,78.95027777968033,19.10833333022633,6.86
56,73.46444443956288,23.34472222037252,13.1
57,75.27500000031858,16.366666670260695,7.86
58,78.47305556032981,28.835555559867373,15.2
59,75.11916666970353,32.55749999969591,16.55
60,77.05000000004262,21.116666669635336,22.1
61,75.68333332971893,29.408333330317785,4.06
62,75.63333333018687,18.933333329674234,7.4
63,75.0105555595545,24.200555560086002,10.45
64,80.82250000023706,24.16666666960165,11.51
65,77.08750000022953,14.174999999636,2.19
66,78.26999999990353,17.551944440108382,9.3
67,78.48666667016482,18.713333330125636,34.5
68,82.66111111029147,22.035277780435134,23.76
69,78.06805556008436,21.0861111101511,4.45
70,85.98472222002474,26.63916667019932,3.17
71,77.43611110995336,8.719444444443981,3.85
72,74.31666667037241,23.56666667000313,2.1
73,76.5499999997355,15.087500000286173,6.3
74,85.11055556047232,25.61944443996961,11.98
75,71.37916667026074,22.208333330375886,7.4
76,78.1999999997169,20.399999999747223,12.6
77,73.7522222198533,15.68138888997234,3.01
78,78.4013888902525,21.3916666702833,21
79,69.72083333010958,22.827777779589645,6.52
80,73.5333333301164,23.983333330278054,10.53
81,76.66666667035591,28.2055555600355,25.18
82,74.90388889026035,13.38194443997695,12.3
83,73.4833333295424,22.227777779978382,4.07
84,73.57083333013271,16.99583332966442,13.7
85,71.66277778038958,25.745833330447294,40.73
86,75.55694443958902,13.330833329906234,5.7
87,78.30944443994596,12.964444440430617,8.63
88,78.32583332951857,20.85305555963048,5.4
89,86.4249999998253,25.5000000003012,8.4
90,81.60833332985864,22.93055556038578,8.25
91,77.9416666700901,8.316666667260623,2.07
92,80.43333332979373,26.694444439996364,4.92
93,75.34583332986553,20.291666669874292,4.4
94,74.63333332980613,30.388888889995435,2.53
95,75.77027778038403,20.2508333302078,5.7
96,81.41666666997405,16.586388889551706,1.59
97,71.36250000050164,20.86666666965732,2.49
98,75.74722221978422,14.516388889885507,6.45
99,73.54222222016953,16.242222220313156,8
100,76.79583333026983,17.083333329820356,14.26
101,79.08611110986836,17.897222219933678,17.85
102,81.91527777973458,17.38749999979185,7.49
103,76.21666667005825,17.266666670354017,5.5
104,71.82500000027864,26.200000000030336,21.11
105,82.09861110960726,24.432222219724892,12.4
106,74.08888888980482,22.949444439958214,10.3
107,72.18611111024377,24.502777779772064,73.59
108,74.89222222035659,27.839166670151656,43.6
109,73.22111110956553,17.756388890023537,2.76
110,81.79777778037845,21.554444440427282,3.98
111,72.84444443981991,20.40277778028138,5.34
112,77.30305556042717,28.661111110165592,11
113,77.59999999974686,15.716666670351419,1.88
114,73.58333333037145,21.6333333298257,7.98
115,75.47500000019416,25.811666670033304,5.08
116,76.93805556051844,30.778888889973903,9.59
117,74.86194443984517,14.384166670399468,9.96
118,77.13333333011835,19.26666666963749,9.2
119,78.43277778018232,26.153888890238733,14.59
120,70.60916666959318,20.977499999722777,18.34
121,77.73111111039033,24.61472221955735,3.48
122,75.74999999987253,31.97222222038175,8.87
123,69.6424999997316,21.644999999952194,8.18
124,75.60861110989818,32.02527778040612,6.96
125,75.13611111045327,12.93277777994714,7.45
126,72.82916666979787,26.158333330098433,28.5
127,72.84999999959213,19.483333329716437,2.2
128,77.36666666991862,18.48333332970241,9.5
129,75.24166666953437,30.25833333023607,25.33
130,78.46666666950227,29.236666669926198,5.34
131,77.92500000030434,21.308333329650868,7.15
132,76.42222221985591,12.366666669623433,14.48
133,75.41666667015762,14.258333330064941,12.59
134,85.32472221972574,26.425277780220497,5.1
135,76.9416666703232,13.304166670355603,5.16
136,77.5750000000047,29.463888890294403,14.64
137,78.31666666967543,20.133333329779372,10.5
138,76.34999999994429,20.733333329824426,10.5
139,74.04999999993716,17.533333330155696,3.7
140,76.1783333295454,31.143055559762672,16.43
141,77.19611110969214,24.540833329735115,14.63
142,80.96361111001544,16.250555560081157,3.64
143,73.81666667024834,20.199999999999882,15
144,77.01388888959755,19.754166670199393,10.5
145,78.34361111038916,17.15166666989198,40.6
146,71.61944444026516,23.479166669634296,14.27
147,76.4625000004675,19.614166669618996,15.8
148,69.04166666988364,22.433333329678977,5.75
149,73.19999999955284,25.366666669964406,18.35
150,81.7361111103972,27.012499999550496,5.09
151,72.59166666967782,22.058333329603762,5.5
152,79.21527777955525,17.971944440340497,22.21
153,74.71583333026187,32.62249999978259,3.8
